Luas Bangunan,Luas Tanah,Jumlah Lantai,Lokasi,Tipe Perumahan,Pagar,Bentuk Tanah,Lebar Jalan,Daya Listrik,Jumlah Carport & Garasi Dalam,Material ,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Air,Jumlah Fasilitas Tambahan,Harga
-0.885711669,-0.808901525,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.80590237
-0.555755306,-0.421757962,-0.538790294,0.299936862,1.127972264,1.152167452,-0.102062073,-0.450033343,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,1.28474511,-0.153703438,-0.655121547
-0.885711669,-0.744377598,-0.538790294,-3.299305482,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.866303394
-0.885711669,-0.658345695,-0.538790294,-3.299305482,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.852839554
-0.885711669,-0.604575755,-0.538790294,-3.299305482,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.844425097
-0.527063448,-0.07763035,-0.538790294,-3.299305482,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.690712917
-0.527063448,-0.013106423,-0.538790294,-3.299305482,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.680615037
-0.527063448,0.008401553,-0.538790294,-3.299305482,1.127972264,1.152167452,-0.102062073,0.538598257,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,-0.153703438,-0.677249076
-0.412296017,-0.357234034,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-1.438664943,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,0.413816949,-0.344158927
-0.311874515,0.610624874,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-1.438664943,-0.725761877,0.936877011,-0.703414292,-0.725036957,-0.675370616,-0.805687611,0.413816949,0.02089383
-0.469679733,-0.357234034,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-1.438664943,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,0.413816949,-0.397907202
-0.469679733,-0.195924216,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-1.438664943,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,0.413816949,-0.344357836
-0.512717519,-0.58306778,-0.538790294,0.299936862,-0.877311761,-0.858888464,-0.102062073,-1.438664943,-0.725761877,-0.246546582,-0.703414292,-0.725036957,-0.675370616,-0.805687611,0.413816949,-0.483586187
